Trait1	Trait2	rg	se	z	p
ADHD	Age at Menarche	-0.121	0.083	-1.453	0.146
ADHD	Age at Smoking	-0.148	0.223	-0.666	0.505
ADHD	Alzheimer's	-0.17	0.191	-0.886	0.376
ADHD	Anorexia	0.174	0.107	1.623	0.105
ADHD	Autism Spectrum	-0.13	0.13	-0.999	0.318
ADHD	Bipolar	0.528	0.128	4.12	3.79E-05
ADHD	Birth Length	-0.043	0.179	-0.238	0.812
ADHD	Birth Weight	0.067	0.172	0.387	0.699
ADHD	BMI	0.324	0.094	3.451	0.001
ADHD	BMI 2010	0.281	0.084	3.354	0.001
ADHD	Childhood IQ	-0.115	0.197	-0.585	0.559
ADHD	Childhood Obesity	0.119	0.128	0.934	0.351
ADHD	Cigarettes per Day	0.218	0.178	1.224	0.221
ADHD	College	-0.397	0.158	-2.52	0.012
ADHD	Coronary Artery Disease	0.208	0.098	2.118	0.034
ADHD	Crohn's Disease	0.066	0.114	0.575	0.565
ADHD	Depression	0.432	0.187	2.305	0.021
ADHD	Ever/Never Smoked	0.363	0.148	2.45	0.014
ADHD	Extreme BMI	0.181	0.127	1.422	0.155
ADHD	Extreme Height	0.011	0.11	0.105	0.917
ADHD	Fasting Glucose	-0.024	0.126	-0.194	0.846
ADHD	Fasting Insulin	-0.005	0.161	-0.031	0.976
ADHD	Fasting Proinsulin	0.016	0.209	0.077	0.939
ADHD	Former/Current Smoker	0.156	0.169	0.92	0.357
ADHD	HbA1C	0.259	0.175	1.483	0.138
ADHD	HDL	-0.177	0.115	-1.53	0.126
ADHD	Height	-0.029	0.06	-0.484	0.629
ADHD	Height 2010	-0.037	0.072	-0.511	0.609
ADHD	Hip Circumference	0.21	0.1	2.094	0.036
ADHD	HOMA-B	0.039	0.168	0.233	0.816
ADHD	HOMA-IR	0.079	0.174	0.456	0.649
ADHD	Infant Head Circumference	-0.375	0.201	-1.866	0.062
ADHD	LDL	0.1	0.11	0.908	0.364
ADHD	Lumbar Spine BMD	-0.071	0.103	-0.687	0.492
ADHD	Neck BMD	-0.018	0.113	-0.16	0.873
ADHD	Obesity Class 1	0.215	0.085	2.516	0.012
ADHD	Obesity Class 2	0.162	0.105	1.539	0.124
ADHD	Obesity Class 3	-0.014	0.165	-0.087	0.931
ADHD	Overweight	0.266	0.099	2.673	0.008
ADHD	Rheumatoid Arthritis	0.022	0.094	0.237	0.812
ADHD	Schizophrenia	0.181	0.08	2.257	0.024
ADHD	T2D	0.128	0.109	1.166	0.243
ADHD	Total Cholesterol	0.063	0.091	0.693	0.488
ADHD	Triglycerides	0.102	0.092	1.106	0.269
ADHD	Ulcerative Colitis	0.168	0.117	1.436	0.151
ADHD	Waist Circumference	0.339	0.11	3.082	0.002
ADHD	Waist-Hip Ratio	0.332	0.106	3.142	0.002
ADHD	Years of Education	-0.304	0.14	-2.174	0.03
